"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","OP_CARRIER","OP_CARRIER_AIRLINE_ID","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DEL15","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY"
2025,7,10,4,"WN","WN",19393,"N7822A",2599,"ORF","Norfolk, VA","VA","BWI","Baltimore, MD","MD",1810,1858,48,1,2003,48,0,"",65,39,159,0,0
2025,7,7,1,"YX","YX",20452,"N411YX",4491,"LGA","New York, NY","NY","DCA","Washington, DC","VA",759,837,38,1,949,22,0,"",72,49,214,2,0
2025,7,7,1,"OH","OH",20397,"N533AE",5646,"MKE","Milwaukee, WI","WI","DCA","Washington, DC","VA",607,558,-9,0,904,-6,0,"",126,95,634,NA,NA
2025,7,12,6,"UA","UA",19977,"N472UA",1129,"PIT","Pittsburgh, PA","PA","ORD","Chicago, IL","IL",1751,1833,42,1,1914,34,0,"",101,66,413,0,0
2025,7,19,6,"UA","UA",19977,"N464UA",336,"AVL","Asheville, NC","NC","DEN","Denver, CO","CO",1630,1639,9,0,1807,5,0,"",208,191,1248,NA,NA
2025,7,11,5,"AA","AA",19805,"N414AL",1707,"CLT","Charlotte, NC","NC","DFW","Dallas/Fort Worth, TX","TX",730,744,14,0,917,3,0,"",153,126,935,NA,NA
2025,7,29,2,"WN","WN",19393,"N7849A",1037,"IND","Indianapolis, IN","IN","PHX","Phoenix, AZ","AZ",2005,2006,1,0,2049,4,0,"",223,201,1489,NA,NA
2025,7,30,3,"WN","WN",19393,"N7860A",1522,"PHX","Phoenix, AZ","AZ","STL","St. Louis, MO","MO",845,840,-5,0,1324,-21,0,"",164,151,1262,NA,NA
2025,7,26,6,"B6","B6",20409,"N3195J",2184,"RDU","Raleigh/Durham, NC","NC","BOS","Boston, MA","MA",1020,1014,-6,0,1201,-16,0,"",107,86,612,NA,NA
2025,7,21,1,"OO","OO",20304,"N116SY",5931,"GRR","Grand Rapids, MI","MI","ORD","Chicago, IL","IL",1837,1831,-6,0,1905,10,0,"",94,38,137,NA,NA
2025,7,30,3,"OH","OH",20397,"N706PS",5088,"ORF","Norfolk, VA","VA","PHL","Philadelphia, PA","PA",610,559,-11,0,702,-13,0,"",63,34,212,NA,NA
2025,7,10,4,"OO","OO",20304,"N119SY",5813,"OMA","Omaha, NE","NE","DEN","Denver, CO","CO",1130,1245,75,1,1322,49,0,"",97,78,472,0,49
2025,7,15,2,"DL","DL",19790,"N840DN",2264,"TPA","Tampa, FL","FL","MSP","Minneapolis, MN","MN",1815,1822,7,0,2131,49,0,"",249,191,1306,0,0
2025,7,21,1,"OH","OH",20397,"N542EA",5327,"PHL","Philadelphia, PA","PA","MKE","Milwaukee, WI","WI",1028,1020,-8,0,1141,-3,0,"",141,107,690,NA,NA
2025,7,29,2,"AA","AA",19805,"N449AN",144,"HNL","Honolulu, HI","HI","LAX","Los Angeles, CA","CA",2030,1327,1017,1,2158,1015,0,"",331,274,2556,0,1015
2025,7,23,3,"WN","WN",19393,"N8660A",3300,"LAS","Las Vegas, NV","NV","HOU","Houston, TX","TX",1830,1844,14,0,2349,14,0,"",185,159,1235,NA,NA
2025,7,21,1,"MQ","MQ",20398,"N324ES",3746,"BIL","Billings, MT","MT","DFW","Dallas/Fort Worth, TX","TX",642,632,-10,0,1014,-16,0,"",162,142,1081,NA,NA
2025,7,20,7,"DL","DL",19790,"N831DN",2711,"BWI","Baltimore, MD","MD","ATL","Atlanta, GA","GA",1352,1343,-9,0,1517,-28,0,"",94,78,577,NA,NA
2025,7,5,6,"WN","WN",19393,"N8713M",298,"DEN","Denver, CO","CO","OMA","Omaha, NE","NE",740,736,-4,0,953,-12,0,"",77,59,472,NA,NA
2025,7,14,1,"WN","WN",19393,"N8568Z",849,"LAS","Las Vegas, NV","NV","SFO","San Francisco, CA","CA",1805,1814,9,0,1952,12,0,"",98,71,414,NA,NA
2025,7,3,4,"WN","WN",19393,"N460WN",1918,"MCO","Orlando, FL","FL","MHT","Manchester, NH","NH",935,931,-4,0,1259,29,0,"",208,163,1142,0,0
2025,7,19,6,"WN","WN",19393,"N8830Q",140,"TPA","Tampa, FL","FL","MDW","Chicago, IL","IL",1030,1025,-5,0,1153,-17,0,"",148,129,997,NA,NA
2025,7,19,6,"DL","DL",19790,"N306DU",563,"JAX","Jacksonville, FL","FL","LGA","New York, NY","NY",1600,1551,-9,0,1820,-4,0,"",149,127,834,NA,NA
2025,7,23,3,"YX","YX",20452,"N426YX",4359,"ORF","Norfolk, VA","VA","JFK","New York, NY","NY",1714,1711,-3,0,1855,0,0,"",104,58,290,NA,NA
2025,7,19,6,"YX","YX",20452,"N743YX",3550,"IND","Indianapolis, IN","IN","EWR","Newark, NJ","NJ",750,741,-9,0,948,-10,0,"",127,89,645,NA,NA
2025,7,3,4,"DL","DL",19790,"N678DL",1858,"CVG","Cincinnati, OH","KY","ATL","Atlanta, GA","GA",1405,1433,28,1,1552,9,0,"",79,62,373,NA,NA
2025,7,11,5,"WN","WN",19393,"N283WN",1696,"GRR","Grand Rapids, MI","MI","MDW","Chicago, IL","IL",1300,1317,17,1,1313,13,0,"",56,40,137,NA,NA
2025,7,14,1,"WN","WN",19393,"N8553W",743,"STL","St. Louis, MO","MO","PHX","Phoenix, AZ","AZ",545,545,0,0,640,-20,0,"",175,157,1262,NA,NA
2025,7,28,1,"OO","OO",20304,"N85369",5220,"SFO","San Francisco, CA","CA","SMF","Sacramento, CA","CA",845,835,-10,0,931,-10,0,"",56,25,86,NA,NA
2025,7,20,7,"WN","WN",19393,"N8944Q",2217,"DAL","Dallas, TX","TX","LAS","Las Vegas, NV","NV",1300,1259,-1,0,1334,-16,0,"",155,134,1067,NA,NA
2025,7,29,2,"OO","OO",20304,"N192SY",3408,"PDX","Portland, OR","OR","SEA","Seattle, WA","WA",2159,2157,-2,0,2259,-3,0,"",62,26,129,NA,NA
2025,7,8,2,"DL","DL",19790,"N883DN",489,"SEA","Seattle, WA","WA","RDU","Raleigh/Durham, NC","NC",1555,1649,54,1,33,35,0,"",284,267,2354,35,0
2025,7,28,1,"AA","AA",19805,"N335SN",836,"CLT","Charlotte, NC","NC","LGA","New York, NY","NY",1318,1339,21,1,1521,11,0,"",102,78,544,NA,NA
2025,7,9,3,"DL","DL",19790,"N316NB",438,"CLE","Cleveland, OH","OH","MSP","Minneapolis, MN","MN",1049,1037,-12,0,1138,-13,0,"",121,96,622,NA,NA
2025,7,21,1,"UA","UA",19977,"N892UA",1604,"DEN","Denver, CO","CO","RNO","Reno, NV","NV",1607,1608,1,0,1735,5,0,"",147,112,804,NA,NA
2025,7,24,4,"DL","DL",19790,"N3733Z",2474,"BOS","Boston, MA","MA","RSW","Fort Myers, FL","FL",730,722,-8,0,1051,-13,0,"",209,170,1249,NA,NA
2025,7,31,4,"AS","AS",19930,"N214AK",1194,"SEA","Seattle, WA","WA","SMF","Sacramento, CA","CA",1954,2055,61,1,2243,51,0,"",108,84,605,13,0
